,title,rating
153,The Razor's Edge,7.3
154,The Yearling,7.2
155,The Bishop's Wife,7.6
156,Crossfire,7.3
157,Gentleman's Agreement,7.2
158,Great Expectations,7.8
159,Miracle on 34th Street,7.9
160,Hamlet,7.6
161,Johnny Belinda,7.7
162,The Red Shoes,8.1
163,The Snake Pit,7.6
164,The Treasure of the Sierra Madre,8.2
165,All the King's Men,7.4
166,Battleground,7.4
167,The Heiress,8.1
168,A Letter to Three Wives,7.7
169,Twelve O'Clock High,7.7
170,All About Eve,8.2
171,Born Yesterday,7.5
172,Father of the Bride,7.1
173,King Solomon's Mines,6.7
174,,
175,An American in Paris,7.2
176,Decision Before Dawn,7.2
177,A Place in the Sun,7.7
178,Quo Vadis,7.1
179,A Streetcar Named Desire,7.9
180,The Greatest Show on Earth,6.6
181,High Noon,8.0
182,Ivanhoe,6.7
183,Moulin Rouge,7.0
184,The Quiet Man,7.7
185,From Here to Eternity,7.6
186,Julius Caesar,7.2
187,The Robe,6.7
188,Roman Holiday,8.0
189,Shane,7.6
190,The Caine Mutiny,7.7
191,The Country Girl,7.2
192,On the Waterfront,8.1
193,Seven Brides for Seven Brothers,7.3
194,Three Coins in the Fountain,6.2
195,Love Is a Many-Splendored Thing,6.4
196,Marty,7.7
197,Mister Roberts,7.6
198,Picnic,7.0
199,The Rose Tattoo,6.9
200,,
201,Friendly Persuasion,7.3
202,Giant,7.6
203,The King and I,7.4
204,The Ten Commandments,7.9
205,The Bridge on the River Kwai,8.1
206,Peyton Place,7.2
207,Sayonara,7.0
208,12 Angry Men,9.0
209,Witness for the Prosecution,8.4
210,Auntie Mame,7.9
211,Cat on a Hot Tin Roof,7.9
212,The Defiant Ones,7.6
213,Gigi,6.6
214,Separate Tables,7.4
215,Anatomy of a Murder,8.0
216,Ben-Hur,8.1
217,The Diary of Anne Frank,7.4
218,The Nun's Story,7.5
219,Room at the Top,7.5
220,The Alamo,6.8
221,The Apartment,8.3
222,Elmer Gantry,7.7
223,Sons and Lovers,7.1
224,The Sundowners,7.1
225,Fanny,6.8
226,The Guns of Navarone,7.5
227,The Hustler,8.0
228,Judgment at Nuremberg,8.3
229,West Side Story,7.6
230,Lawrence of Arabia,8.3
231,The Longest Day,7.7
232,The Music Man,7.7
233,Mutiny on the Bounty,7.2
234,To Kill a Mockingbird,8.3
235,America America,7.7
236,Cleopatra,7.0
237,How the West Was Won,7.0
238,Lilies of the Field,7.5
239,Tom Jones,6.4
240,Becket,7.8
241,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
242,Mary Poppins,7.8
243,My Fair Lady,7.7
244,Zorba the Greek,7.6
245,Darling,7.0
246,Doctor Zhivago,7.9
247,Ship of Fools,7.1
248,The Sound of Music,8.1
249,A Thousand Clowns,7.3
250,Alfie,7.0
251,A Man for All Seasons,7.7
252,,
253,The Sand Pebbles,7.5
254,Who's Afraid of Virginia Woolf?,8.0
255,Bonnie and Clyde,7.7
256,Doctor Dolittle,6.1
257,The Graduate,8.0
258,Guess Who's Coming to Dinner,7.8
259,In the Heat of the Night,7.9
260,Funny Girl,7.3
261,The Lion in Winter,7.9
262,Oliver!,7.4
263,"Rachel, Rachel",7.1
264,Romeo and Juliet,7.6
265,Anne of the Thousand Days,7.4
266,Butch Cassidy and the Sundance Kid,8.0
267,"Hello, Dolly!",7.0
268,Midnight Cowboy,7.8
269,Z,8.2
270,Airport,6.6
271,Five Easy Pieces,7.4
272,Love Story,6.9
273,M*A*S*H,7.4
274,Patton,7.9
275,A Clockwork Orange,8.3
276,Fiddler on the Roof,8.0
277,The French Connection,7.7
278,The Last Picture Show,8.0
279,Nicholas and Alexandra,7.2
280,Cabaret,7.8
281,Deliverance,7.7
282,The Emigrants,8.0
283,The Godfather,9.2
284,Sounder,7.5
285,American Graffiti,7.4
286,,
287,The Exorcist,8.1
288,The Sting,8.3
289,A Touch of Class,6.5
290,Chinatown,8.2
291,The Conversation,7.8
292,The Godfather Part II,9.0
293,Lenny,7.5
294,The Towering Inferno,7.0
295,Barry Lyndon,8.1
296,Dog Day Afternoon,8.0
297,Jaws,8.1
298,Nashville,7.6
299,One Flew Over the Cuckoo's Nest,8.7
300,All the President's Men,7.9
301,Bound for Glory,7.2
302,Network,8.1
303,Rocky,8.1
304,Taxi Driver,8.2
305,Annie Hall,8.0
306,The Goodbye Girl,7.4
307,Julia,7.1
308,,
309,The Turning Point,6.8
310,Coming Home,7.3
311,The Deer Hunter,8.1
312,Heaven Can Wait,6.9
313,Midnight Express,7.5
314,An Unmarried Woman,7.2
315,All That Jazz,7.8
316,Apocalypse Now,8.4
317,Breaking Away,7.7
318,Kramer vs. Kramer,7.8
319,Norma Rae,7.3
320,Coal Miner's Daughter,7.5
321,The Elephant Man,8.2
322,Ordinary People,7.7
323,Raging Bull,8.1
324,Tess,7.3
325,Atlantic City,7.3
326,Chariots of Fire,7.1
327,On Golden Pond,7.6
328,Raiders of the Lost Ark,8.4
329,Reds,7.3
330,E.T. the Extra-Terrestrial,7.9
331,Gandhi,8.0
332,Missing,7.7
333,Tootsie,7.4
334,The Verdict,7.7
335,The Big Chill,7.1
336,The Dresser,7.5
337,The Right Stuff,7.8
338,Tender Mercies,7.3
339,Terms of Endearment,7.4
340,Amadeus,8.4
341,The Killing Fields,7.8
342,A Passage to India,7.3
343,Places in the Heart,7.4
344,A Soldier's Story,7.2
345,The Color Purple,7.7
346,Kiss of the Spider Woman,7.3
347,Out of Africa,7.1
348,Prizzi's Honor,6.7
349,Witness,7.4
350,Children of a Lesser God,7.2
351,Hannah and Her Sisters,7.8
352,The Mission,7.4
353,Platoon,8.1
354,A Room with a View,7.2
355,Broadcast News,7.3
356,Fatal Attraction,6.9
357,Hope and Glory,7.3
358,The Last Emperor,7.7
359,Moonstruck,7.1
360,The Accidental Tourist,6.7
361,Dangerous Liaisons,7.6
362,Mississippi Burning,7.8
363,Rain Man,8.0
364,Working Girl,6.8
365,Born on the Fourth of July,7.2
366,Dead Poets Society,8.1
367,Driving Miss Daisy,7.3
368,Field of Dreams,7.5
369,,
370,Awakenings,7.8
371,Dances with Wolves,8.0
372,Ghost,7.1
373,The Godfather Part III,7.6
374,Goodfellas,8.7
375,Beauty and the Beast,8.0
376,Bugsy,6.8
377,JFK,8.0
378,The Prince of Tides,6.8
379,The Silence of the Lambs,8.6
380,The Crying Game,7.2
381,A Few Good Men,7.7
382,Howards End,7.4
383,Scent of a Woman,8.0
384,Unforgiven,8.2
385,The Fugitive,7.8
386,In the Name of the Father,8.1
387,The Piano,7.5
388,The Remains of the Day,7.8
389,Schindler's List,9.0
390,Forrest Gump,8.8
391,Four Weddings and a Funeral,7.1
392,Pulp Fiction,8.9
393,Quiz Show,7.5
394,The Shawshank Redemption,9.3
395,Apollo 13,7.7
396,Babe,6.9
397,Braveheart,8.3
398,The Postman,7.8
399,Sense and Sensibility,7.7
400,The English Patient,7.4
401,Fargo,8.1
402,Jerry Maguire,7.3
403,Secrets & Lies,8.0
404,Shine,7.6
405,As Good as It Gets,7.7
406,The Full Monty,7.2
407,Good Will Hunting,8.3
408,L.A. Confidential,8.2
409,Titanic,7.9
410,Elizabeth,7.4
411,Life Is Beautiful,8.6
412,Saving Private Ryan,8.6
413,Shakespeare in Love,7.1
414,The Thin Red Line,7.6
415,American Beauty,8.3
416,The Cider House Rules,7.4
417,The Green Mile,8.6
418,The Insider,7.8
419,The Sixth Sense,8.2
420,Chocolat,7.3
421,"Crouching Tiger, Hidden Dragon",7.9
422,Erin Brockovich,7.4
423,Gladiator,8.5
424,Traffic,7.6
425,A Beautiful Mind,8.2
426,Gosford Park,7.2
427,In the Bedroom,7.4
428,The Lord of the Rings: The Fellowship of the Ring,8.9
429,Moulin Rouge!,7.6
430,Chicago,7.2
431,Gangs of New York,7.5
432,The Hours,7.5
433,The Lord of the Rings: The Two Towers,8.8
434,The Pianist,8.5
435,The Lord of the Rings: The Return of the King,9.0
436,Lost in Translation,7.7
437,Master and Commander: The Far Side of the World,7.5
438,Mystic River,7.9
439,Seabiscuit,7.3
440,The Aviator,7.5
441,Finding Neverland,7.7
442,Million Dollar Baby,8.1
443,Ray,7.7
444,Sideways,7.5
445,Brokeback Mountain,7.7
446,Capote,7.3
447,Crash,7.7
448,"Good Night, and Good Luck.",7.4
449,Munich,7.5
450,Babel,7.5
451,The Departed,8.5
452,Letters from Iwo Jima,7.8
453,Little Miss Sunshine,7.8
454,The Queen,7.3
455,Atonement,7.8
456,Juno,7.5
457,Michael Clayton,7.2
458,No Country for Old Men,8.2
459,There Will Be Blood,8.2
460,The Curious Case of Benjamin Button,7.8
461,Frost/Nixon,7.7
462,Milk,7.5
463,The Reader,7.6
464,Slumdog Millionaire,8.0
465,Avatar,7.9
466,The Blind Side,7.6
467,District 9,7.9
468,An Education,7.3
469,The Hurt Locker,7.5
470,Inglourious Basterds,8.4
471,Precious,7.3
472,A Serious Man,7.0
473,Up,8.3
474,Up in the Air,7.4
475,Black Swan,8.0
476,The Fighter,7.8
477,Inception,8.8
478,The Kids Are All Right,7.0
479,The King's Speech,8.0
480,127 Hours,7.5
481,The Social Network,7.8
482,Toy Story 3,8.3
483,True Grit,7.6
484,Winter's Bone,7.1
485,The Artist,7.9
486,The Descendants,7.3
487,Extremely Loud & Incredibly Close,6.9
488,The Help,8.1
489,Hugo,7.5
490,Midnight in Paris,7.6
491,Moneyball,7.6
492,The Tree of Life,6.8
493,War Horse,7.2
494,Amour,7.9
495,Argo,7.7
496,Beasts of the Southern Wild,7.2
497,Django Unchained,8.5
498,Les Misérables,7.5
499,Life of Pi,7.9
500,Lincoln,7.3
501,Silver Linings Playbook,7.7
502,Zero Dark Thirty,7.4
503,American Hustle,7.2
504,Captain Phillips,7.8
505,Dallas Buyers Club,7.9
506,Gravity,7.7
507,Her,8.0
508,Nebraska,7.7
509,Philomena,7.6
510,12 Years a Slave,8.1
511,The Wolf of Wall Street,8.2
512,American Sniper,7.3
513,Birdman or (The Unexpected Virtue of Ignorance),7.7
514,Boyhood,7.9
515,The Grand Budapest Hotel,8.1
516,The Imitation Game,8.0
517,Selma,7.5
518,The Theory of Everything,7.7
519,Whiplash,8.5
520,The Big Short,7.8
521,Bridge of Spies,7.6
522,Brooklyn,7.5
523,Mad Max: Fury Road,8.1
524,The Martian,8.0
525,The Revenant,8.0
526,Room,8.1
527,Spotlight,8.1
528,Arrival,7.9
529,Fences,7.2
530,Hacksaw Ridge,8.1
531,Hell or High Water,7.6
532,Hidden Figures,7.8
533,La La Land,8.0
534,Lion,8.0
535,Manchester by the Sea,7.8
536,Moonlight,7.4
537,Call Me by Your Name,7.8
538,Darkest Hour,7.4
539,Dunkirk,7.8
540,Get Out,7.8
541,Lady Bird,7.4
542,Phantom Thread,7.4
543,The Post,7.2
