genre_ids,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count
"[18, 10749]",82474,en,7th Heaven,A dejected Parisian sewer worker feels his prayers have been answered when he falls in love with a street waif.,7.589,1927-09-10,7th Heaven,7.3,88
"[18, 28, 10752, 10749]",28966,en,Wings,"Two young men, one rich, one middle class, both in love with the same woman, become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl who's the lovestruck lifelong next door neighbor of one of them pines away.",15.889,1927-08-12,Wings,7.2,246
"[28, 37]",83989,en,In Old Arizona,"Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid's capture -- dead or alive. Together, they concoct a plan to ambush and do away with the Cisco Kid once and for all.",9.221,1928-12-25,In Old Arizona,5.2,23
[18],83990,en,The Patriot,"In 18th-Century Russia, the Czar, Paul, is surrounded by murderous plots and trusts only Count Pahlen. Pahlen wishes to protect his friend, the mad king, but because of the horror of the king's acts, he feels that he must remove him from the throne.",2.267,1928-09-01,The Patriot,5.0,3
"[18, 36]",84274,en,Disraeli,Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.,3.582,1929-11-01,Disraeli,5.5,15
"[35, 10749]",51759,en,The Love Parade,"The queen of mythical Sylvania marries a courtier, who finds his new life unsatisfying.",5.239,1930-01-18,The Love Parade,6.5,27
[18],84298,en,Arrowsmith,"A medical researcher is sent to a plague outbreak, where he has to decide priorities for the use of a vaccine.",9.167,1931-12-07,Arrowsmith,6.6,21
"[10749, 18]",84299,en,Bad Girl,"A man and woman, skeptical about romance, nonetheless fall in love and are wed, but their lack of confidence in the opposite sex haunts their marriage.",4.633,1931-08-13,Bad Girl,5.846,26
[18],42816,en,The Champ,A broken-down alcoholic prizefighter struggles to keep custody of his adoring son.,6.399,1931-11-21,The Champ,7.0,43
[16],351010,en,The Champ,A Terrytoons cartoon released 20 September 1931.,0.6,1931-09-19,The Champ,0.0,0
"[80, 18]",42669,en,Five Star Final,"Searching for headlines at any cost, an unscrupulous newspaper owner forces his editor to print a serial based on a past murder, tormenting a woman involved.",8.041,1931-09-26,Five Star Final,6.8,28
