title,duration
The Racket,84
7th Heaven,110
Wings,144
Alibi,91
In Old Arizona,95
The Broadway Melody,100
The Hollywood Revue of 1929,130
The Patriot,113
All Quiet on the Western Front,152
The Big House,87
Disraeli,90
The Divorcee,84
The Love Parade,107
Cimarron,123
East Lynne,102
The Front Page,101
Skippy,85
Trader Horn,122
Arrowsmith,108
Bad Girl,90
The Champ,86
Five Star Final,89
Grand Hotel,112
One Hour with You,78
Shanghai Express,82
The Smiling Lieutenant,93
Cavalcade,112
A Farewell to Arms,80
42nd Street,89
I Am a Fugitive from a Chain Gang,92
Lady for a Day,96
Little Women,115
The Private Life of Henry VIII,97
She Done Him Wrong,66
Smilin' Through,98
State Fair,99
The Barretts of Wimpole Street,109
Cleopatra,100
Flirtation Walk,97
The Gay Divorcee,107
Here Comes the Navy,87
The House of Rothschild,88
Imitation of Life,111
It Happened One Night,105
One Night of Love,84
The Thin Man,91
Viva Villa!,115
The White Parade,80
Alice Adams,99
Broadway Melody of 1936,101
Captain Blood,119
David Copperfield,130
The Informer,91
Les Misérables,108
The Lives of a Bengal Lancer,109
A Midsummer Night's Dream,133
Mutiny on the Bounty,132
Naughty Marietta,105
Ruggles of Red Gap,90
Top Hat,101
Anthony Adverse,141
Dodsworth,101
The Great Ziegfeld,176
Libeled Lady,98
Mr. Deeds Goes to Town,115
Romeo and Juliet,125
San Francisco,115
The Story of Louis Pasteur,86
A Tale of Two Cities,128
Three Smart Girls,84
The Awful Truth,90
Captains Courageous,117
Dead End,93
The Good Earth,138
In Old Chicago,95
The Life of Emile Zola,116
Lost Horizon,132
One Hundred Men and a Girl,84
Stage Door,92
A Star Is Born,111
The Adventures of Robin Hood,102
Alexander's Ragtime Band,106
Boys Town,96
The Citadel,110
Four Daughters,90
,
Jezebel,104
Pygmalion,96
Test Pilot,119
You Can't Take It with You,126
Dark Victory,104
Gone with the Wind,238
"Goodbye, Mr. Chips",114
Love Affair,88
Mr. Smith Goes to Washington,129
Ninotchka,110
Of Mice and Men,106
Stagecoach,96
The Wizard of Oz,102
Wuthering Heights,104
"All This, and Heaven Too",141
Foreign Correspondent,120
The Grapes of Wrath,129
The Great Dictator,125
Kitty Foyle,108
The Letter,95
The Long Voyage Home,105
Our Town,90
The Philadelphia Story,112
Rebecca,130
Blossoms in the Dust,99
Citizen Kane,119
Here Comes Mr. Jordan,94
Hold Back the Dawn,116
How Green Was My Valley,118
The Little Foxes,116
The Maltese Falcon,100
One Foot in Heaven,108
Sergeant York,134
Suspicion,99
49th Parallel,123
Kings Row,127
The Magnificent Ambersons,88
Mrs. Miniver,134
The Pied Piper,87
The Pride of the Yankees,128
Random Harvest,126
The Talk of the Town,118
Wake Island,88
Yankee Doodle Dandy,126
Casablanca,102
For Whom the Bell Tolls,170
Heaven Can Wait,112
The Human Comedy,117
In Which We Serve,115
Madame Curie,124
The More the Merrier,104
The Ox-Bow Incident,75
The Song of Bernadette,156
Watch on the Rhine,114
Double Indemnity,107
Gaslight,114
Going My Way,126
Since You Went Away,177
Wilson,154
Anchors Aweigh,140
The Bells of St. Mary's,126
The Lost Weekend,101
Mildred Pierce,111
Spellbound,111
The Best Years of Our Lives,170
,
It's a Wonderful Life,130
The Razor's Edge,145
The Yearling,128
The Bishop's Wife,109
Crossfire,86
Gentleman's Agreement,118
Great Expectations,118
Miracle on 34th Street,96
Hamlet,154
Johnny Belinda,102
The Red Shoes,135
The Snake Pit,108
The Treasure of the Sierra Madre,126
All the King's Men,110
Battleground,118
The Heiress,115
A Letter to Three Wives,103
Twelve O'Clock High,132
All About Eve,138
Born Yesterday,103
Father of the Bride,92
King Solomon's Mines,103
,
An American in Paris,114
Decision Before Dawn,119
A Place in the Sun,122
Quo Vadis,171
A Streetcar Named Desire,122
The Greatest Show on Earth,152
High Noon,85
Ivanhoe,106
Moulin Rouge,119
The Quiet Man,129
From Here to Eternity,118
Julius Caesar,120
The Robe,135
Roman Holiday,118
Shane,118
The Caine Mutiny,124
The Country Girl,104
On the Waterfront,108
Seven Brides for Seven Brothers,102
Three Coins in the Fountain,102
Love Is a Many-Splendored Thing,102
Marty,90
