,title,rating
0,The Racket,6.6
1,7th Heaven,7.6
2,Wings,7.5
3,Alibi,5.7
4,In Old Arizona,5.5
5,The Broadway Melody,5.6
6,The Hollywood Revue of 1929,5.8
7,The Patriot,
8,All Quiet on the Western Front,8.1
9,The Big House,7.1
10,Disraeli,6.1
11,The Divorcee,6.7
12,The Love Parade,7.0
13,Cimarron,5.8
14,East Lynne,5.8
15,The Front Page,6.7
16,Skippy,6.3
17,Trader Horn,6.1
18,Arrowsmith,6.2
19,Bad Girl,6.4
20,The Champ,7.3
21,Five Star Final,7.3
22,Grand Hotel,7.3
23,One Hour with You,7.1
24,Shanghai Express,7.3
25,The Smiling Lieutenant,7.2
26,Cavalcade,5.8
27,A Farewell to Arms,6.4
28,42nd Street,7.3
29,I Am a Fugitive from a Chain Gang,8.2
30,Lady for a Day,7.4
31,Little Women,7.2
32,The Private Life of Henry VIII,7.0
33,She Done Him Wrong,6.3
34,Smilin' Through,6.9
35,State Fair,6.7
36,The Barretts of Wimpole Street,6.9
37,Cleopatra,6.8
38,Flirtation Walk,5.6
39,The Gay Divorcee,7.4
40,Here Comes the Navy,6.2
41,The House of Rothschild,6.5
42,Imitation of Life,7.5
43,It Happened One Night,8.1
44,One Night of Love,5.6
45,The Thin Man,7.9
46,Viva Villa!,6.3
47,The White Parade,6.8
48,Alice Adams,6.9
49,Broadway Melody of 1936,6.8
50,Captain Blood,7.7
51,David Copperfield,7.4
52,The Informer,7.4
53,Les Misérables,7.7
54,The Lives of a Bengal Lancer,7.0
55,A Midsummer Night's Dream,6.8
56,Mutiny on the Bounty,7.6
57,Naughty Marietta,6.5
58,Ruggles of Red Gap,7.6
59,Top Hat,7.7
60,Anthony Adverse,6.3
61,Dodsworth,7.8
62,The Great Ziegfeld,6.6
63,Libeled Lady,7.8
64,Mr. Deeds Goes to Town,7.8
65,Romeo and Juliet,6.5
66,San Francisco,7.2
67,The Story of Louis Pasteur,7.3
68,A Tale of Two Cities,7.8
69,Three Smart Girls,6.6
70,The Awful Truth,7.7
71,Captains Courageous,7.9
72,Dead End,7.2
73,The Good Earth,7.5
74,In Old Chicago,6.7
75,The Life of Emile Zola,7.2
76,Lost Horizon,7.6
77,One Hundred Men and a Girl,6.7
78,Stage Door,7.7
79,A Star Is Born,7.3
80,The Adventures of Robin Hood,7.9
81,Alexander's Ragtime Band,6.8
82,Boys Town,7.2
83,The Citadel,7.1
84,Four Daughters,6.9
85,,
86,Jezebel,7.4
87,Pygmalion,7.7
88,Test Pilot,6.8
89,You Can't Take It with You,7.8
90,Dark Victory,7.4
91,Gone with the Wind,8.2
92,"Goodbye, Mr. Chips",7.9
93,Love Affair,7.3
94,Mr. Smith Goes to Washington,8.1
95,Ninotchka,7.8
96,Of Mice and Men,7.8
97,Stagecoach,7.8
98,The Wizard of Oz,8.1
99,Wuthering Heights,7.5
100,"All This, and Heaven Too",7.4
101,Foreign Correspondent,7.4
102,The Grapes of Wrath,8.1
103,The Great Dictator,8.4
104,Kitty Foyle,6.9
105,The Letter,7.5
106,The Long Voyage Home,6.9
107,Our Town,6.5
108,The Philadelphia Story,7.9
109,Rebecca,8.1
110,Blossoms in the Dust,6.9
111,Citizen Kane,8.3
112,Here Comes Mr. Jordan,7.6
113,Hold Back the Dawn,7.3
114,How Green Was My Valley,7.7
115,The Little Foxes,7.9
116,The Maltese Falcon,8.0
117,One Foot in Heaven,6.7
118,Sergeant York,7.7
119,Suspicion,7.3
120,49th Parallel,7.3
121,Kings Row,7.5
122,The Magnificent Ambersons,7.6
123,Mrs. Miniver,7.6
124,The Pied Piper,7.0
125,The Pride of the Yankees,7.6
126,Random Harvest,7.9
127,The Talk of the Town,7.5
128,Wake Island,6.6
129,Yankee Doodle Dandy,7.6
130,Casablanca,8.5
131,For Whom the Bell Tolls,6.8
132,Heaven Can Wait,7.4
133,The Human Comedy,7.0
134,In Which We Serve,7.2
135,Madame Curie,7.2
136,The More the Merrier,7.6
137,The Ox-Bow Incident,8.0
138,The Song of Bernadette,7.6
139,Watch on the Rhine,7.1
140,Double Indemnity,8.3
141,Gaslight,7.8
142,Going My Way,7.0
143,Since You Went Away,7.5
144,Wilson,6.4
145,Anchors Aweigh,7.0
146,The Bells of St. Mary's,7.2
147,The Lost Weekend,7.9
148,Mildred Pierce,7.9
149,Spellbound,7.5
150,The Best Years of Our Lives,8.1
151,,
152,It's a Wonderful Life,8.6
153,The Razor's Edge,7.3
