title,rating
The Racket,6.6
7th Heaven,7.6
Wings,7.5
Alibi,5.7
In Old Arizona,5.5
The Broadway Melody,5.6
The Hollywood Revue of 1929,5.8
The Patriot,
All Quiet on the Western Front,8.1
The Big House,7.1
Disraeli,6.1
The Divorcee,6.7
The Love Parade,7.0
Cimarron,5.8
East Lynne,5.8
The Front Page,6.7
Skippy,6.3
Trader Horn,6.1
Arrowsmith,6.2
Bad Girl,6.4
The Champ,7.3
Five Star Final,7.3
Grand Hotel,7.3
One Hour with You,7.1
Shanghai Express,7.3
The Smiling Lieutenant,7.2
Cavalcade,5.8
A Farewell to Arms,6.4
42nd Street,7.3
I Am a Fugitive from a Chain Gang,8.2
Lady for a Day,7.4
Little Women,7.2
The Private Life of Henry VIII,7.0
She Done Him Wrong,6.3
Smilin' Through,6.9
State Fair,6.7
The Barretts of Wimpole Street,6.9
Cleopatra,6.8
Flirtation Walk,5.6
The Gay Divorcee,7.4
Here Comes the Navy,6.2
The House of Rothschild,6.5
Imitation of Life,7.5
It Happened One Night,8.1
One Night of Love,5.6
The Thin Man,7.9
Viva Villa!,6.3
The White Parade,6.8
Alice Adams,6.9
Broadway Melody of 1936,6.8
Captain Blood,7.7
David Copperfield,7.4
The Informer,7.4
Les Misérables,7.7
The Lives of a Bengal Lancer,7.0
A Midsummer Night's Dream,6.8
Mutiny on the Bounty,7.6
Naughty Marietta,6.5
Ruggles of Red Gap,7.6
Top Hat,7.7
Anthony Adverse,6.3
Dodsworth,7.8
The Great Ziegfeld,6.6
Libeled Lady,7.8
Mr. Deeds Goes to Town,7.8
Romeo and Juliet,6.5
San Francisco,7.2
The Story of Louis Pasteur,7.3
A Tale of Two Cities,7.8
Three Smart Girls,6.6
The Awful Truth,7.7
Captains Courageous,7.9
Dead End,7.2
The Good Earth,7.5
In Old Chicago,6.7
The Life of Emile Zola,7.2
Lost Horizon,7.6
One Hundred Men and a Girl,6.7
Stage Door,7.7
A Star Is Born,7.3
The Adventures of Robin Hood,7.9
Alexander's Ragtime Band,6.8
Boys Town,7.2
The Citadel,7.1
Four Daughters,6.9
,
Jezebel,7.4
Pygmalion,7.7
Test Pilot,6.8
You Can't Take It with You,7.8
Dark Victory,7.4
Gone with the Wind,8.2
"Goodbye, Mr. Chips",7.9
Love Affair,7.3
Mr. Smith Goes to Washington,8.1
Ninotchka,7.8
Of Mice and Men,7.8
Stagecoach,7.8
The Wizard of Oz,8.1
Wuthering Heights,7.5
"All This, and Heaven Too",7.4
Foreign Correspondent,7.4
The Grapes of Wrath,8.1
The Great Dictator,8.4
Kitty Foyle,6.9
The Letter,7.5
The Long Voyage Home,6.9
Our Town,6.5
The Philadelphia Story,7.9
Rebecca,8.1
Blossoms in the Dust,6.9
Citizen Kane,8.3
Here Comes Mr. Jordan,7.6
Hold Back the Dawn,7.3
How Green Was My Valley,7.7
The Little Foxes,7.9
The Maltese Falcon,8.0
One Foot in Heaven,6.7
Sergeant York,7.7
Suspicion,7.3
49th Parallel,7.3
Kings Row,7.5
The Magnificent Ambersons,7.6
Mrs. Miniver,7.6
The Pied Piper,7.0
The Pride of the Yankees,7.6
Random Harvest,7.9
The Talk of the Town,7.5
Wake Island,6.6
Yankee Doodle Dandy,7.6
Casablanca,8.5
For Whom the Bell Tolls,6.8
Heaven Can Wait,7.4
The Human Comedy,7.0
In Which We Serve,7.2
Madame Curie,7.2
The More the Merrier,7.6
The Ox-Bow Incident,8.0
The Song of Bernadette,7.6
Watch on the Rhine,7.1
Double Indemnity,8.3
Gaslight,7.8
Going My Way,7.0
Since You Went Away,7.5
Wilson,6.4
Anchors Aweigh,7.0
The Bells of St. Mary's,7.2
The Lost Weekend,7.9
Mildred Pierce,7.9
Spellbound,7.5
The Best Years of Our Lives,8.1
,
It's a Wonderful Life,8.6
The Razor's Edge,7.3
The Yearling,7.2
The Bishop's Wife,7.6
Crossfire,7.3
Gentleman's Agreement,7.2
Great Expectations,7.8
Miracle on 34th Street,7.9
Hamlet,7.6
Johnny Belinda,7.7
The Red Shoes,8.1
The Snake Pit,7.6
The Treasure of the Sierra Madre,8.2
All the King's Men,7.4
Battleground,7.4
The Heiress,8.1
A Letter to Three Wives,7.7
Twelve O'Clock High,7.7
All About Eve,8.2
Born Yesterday,7.5
Father of the Bride,7.1
King Solomon's Mines,6.7
,
An American in Paris,7.2
Decision Before Dawn,7.2
A Place in the Sun,7.7
Quo Vadis,7.1
A Streetcar Named Desire,7.9
The Greatest Show on Earth,6.6
High Noon,8.0
Ivanhoe,6.7
Moulin Rouge,7.0
The Quiet Man,7.7
From Here to Eternity,7.6
Julius Caesar,7.2
The Robe,6.7
Roman Holiday,8.0
Shane,7.6
The Caine Mutiny,7.7
The Country Girl,7.2
On the Waterfront,8.1
Seven Brides for Seven Brothers,7.3
Three Coins in the Fountain,6.2
Love Is a Many-Splendored Thing,6.4
Marty,7.7
Mister Roberts,7.6
Picnic,7.0
The Rose Tattoo,6.9
,
Friendly Persuasion,7.3
Giant,7.6
The King and I,7.4
The Ten Commandments,7.9
The Bridge on the River Kwai,8.1
Peyton Place,7.2
Sayonara,7.0
12 Angry Men,9.0
Witness for the Prosecution,8.4
Auntie Mame,7.9
Cat on a Hot Tin Roof,7.9
The Defiant Ones,7.6
Gigi,6.6
Separate Tables,7.4
Anatomy of a Murder,8.0
Ben-Hur,8.1
The Diary of Anne Frank,7.4
The Nun's Story,7.5
Room at the Top,7.5
The Alamo,6.8
The Apartment,8.3
Elmer Gantry,7.7
Sons and Lovers,7.1
The Sundowners,7.1
Fanny,6.8
The Guns of Navarone,7.5
The Hustler,8.0
Judgment at Nuremberg,8.3
West Side Story,7.6
Lawrence of Arabia,8.3
The Longest Day,7.7
