,year_film,year_ceremony,ceremony,film,winner,original_language,original_title,release_date,vote_average,genre,rating,duration,era
0,1927,1928,1,The Racket,False,en,The Racket,1928-11-01,6.4,"['Crime', 'Drama']",6.6,84.0,Golden Era
1,1927,1928,1,7th Heaven,False,en,7th Heaven,1927-09-10,7.317,"['Drama', 'Romance']",7.6,110.0,Golden Era
2,1927,1928,1,Wings,True,en,Wings,1927-08-12,7.198,"['Drama', 'Action', 'War', 'Romance']",7.5,144.0,Golden Era
3,1928,1929,2,Alibi,False,en,Alibi,1929-04-20,5.656,"['Action', 'Crime', 'Thriller']",5.7,91.0,Golden Era
4,1928,1929,2,In Old Arizona,False,en,In Old Arizona,1928-12-25,5.208,"['Action', 'Western']",5.5,95.0,Golden Era
5,1928,1929,2,The Broadway Melody,True,en,The Broadway Melody,1929-02-08,5.194,"['Music', 'Romance', 'Drama']",5.6,100.0,Golden Era
6,1928,1929,2,The Hollywood Revue of 1929,False,en,The Hollywood Revue of 1929,1929-11-23,5.583,"['Comedy', 'Music']",5.8,130.0,Golden Era
7,1928,1929,2,The Patriot,False,en,The Patriot,1928-09-01,5.0,['Drama'],5.0,113.0,Golden Era
8,1929,1930,3,All Quiet on the Western Front,True,en,All Quiet on the Western Front,1930-04-29,7.736,"['Drama', 'War']",8.1,152.0,Golden Era
9,1929,1930,3,The Big House,False,en,The Big House,1930-06-14,6.75,"['Crime', 'Drama']",7.1,87.0,Golden Era
10,1929,1930,3,Disraeli,False,en,Disraeli,1929-11-01,5.438,"['Drama', 'History']",6.1,90.0,Golden Era
11,1929,1930,3,The Divorcee,False,en,The Divorcee,1930-04-19,6.322,"['Drama', 'Romance']",6.7,84.0,Golden Era
12,1929,1930,3,The Love Parade,False,en,The Love Parade,1930-01-18,6.464,"['Comedy', 'Romance']",7.0,107.0,Golden Era
13,1930,1931,4,Cimarron,True,en,Cimarron,1931-01-26,5.473,"['Drama', 'Western', 'History']",5.8,123.0,Golden Era
14,1930,1931,4,East Lynne,False,en,East Lynne,1931-03-01,5.889,['Drama'],5.8,102.0,Golden Era
15,1930,1931,4,The Front Page,False,en,The Front Page,1931-04-04,6.5,"['Comedy', 'Crime', 'Drama', 'Romance']",6.7,101.0,Golden Era
