,year_film,year_ceremony,ceremony,name,film,winner
19,1927,1928,1,The Caddo Company,The Racket,False
20,1927,1928,1,Fox,7th Heaven,False
21,1927,1928,1,Paramount Famous Lasky,Wings,True
62,1928,1929,2,Feature Productions,Alibi,False
63,1928,1929,2,Fox,In Old Arizona,False
64,1928,1929,2,Metro-Goldwyn-Mayer,The Broadway Melody,True
65,1928,1929,2,Metro-Goldwyn-Mayer,Hollywood Revue,False
66,1928,1929,2,Paramount Famous Lasky,The Patriot,False
100,1929,1930,3,Universal,All Quiet on the Western Front,True
101,1929,1930,3,Cosmopolitan,The Big House,False
102,1929,1930,3,Warner Bros.,Disraeli,False
103,1929,1930,3,Metro-Goldwyn-Mayer,The Divorcee,False
104,1929,1930,3,Paramount Famous Lasky,The Love Parade,False
140,1930,1931,4,RKO Radio,Cimarron,True
141,1930,1931,4,Fox,East Lynne,False
142,1930,1931,4,The Caddo Company,The Front Page,False
143,1930,1931,4,Paramount Publix,Skippy,False
144,1930,1931,4,Metro-Goldwyn-Mayer,Trader Horn,False
174,1931,1932,5,Samuel Goldwyn Productions,Arrowsmith,False
175,1931,1932,5,Fox,Bad Girl,False
176,1931,1932,5,Metro-Goldwyn-Mayer,The Champ,False
177,1931,1932,5,First National,Five Star Final,False
178,1931,1932,5,Metro-Goldwyn-Mayer,Grand Hotel,True
179,1931,1932,5,Paramount Publix,One Hour with You,False
180,1931,1932,5,Paramount Publix,Shanghai Express,False
181,1931,1932,5,Paramount Publix,The Smiling Lieutenant,False
237,1932,1933,6,Fox,Cavalcade,True
238,1932,1933,6,Paramount,A Farewell to Arms,False
239,1932,1933,6,Warner Bros.,42nd Street,False
240,1932,1933,6,Warner Bros.,I Am a Fugitive from a Chain Gang,False
241,1932,1933,6,Columbia,Lady for a Day,False
242,1932,1933,6,RKO Radio,Little Women,False
243,1932,1933,6,London Films,The Private Life of Henry VIII,False
244,1932,1933,6,Paramount,She Done Him Wrong,False
245,1932,1933,6,Metro-Goldwyn-Mayer,Smilin' Through,False
246,1932,1933,6,Fox,State Fair,False
294,1934,1935,7,Metro-Goldwyn-Mayer,The Barretts of Wimpole Street,False
295,1934,1935,7,Paramount,Cleopatra,False
296,1934,1935,7,First National,Flirtation Walk,False
