iter	RMSE
0	568.5618906
1	486.2463336
2	430.1870686
3	399.2512446
4	370.8488798
5	355.6271968
6	337.6809162
7	323.8760778
8	315.6985764
9	310.4212354
10	305.992397
11	300.6903012
12	293.4968123
13	282.3483124
14	278.4566846
15	274.1636849
16	268.6600497
17	265.3769076
18	259.6628211
19	255.5706993
20	250.830203
21	247.1860915
22	246.8742479
23	246.1298675
24	241.3235791
25	238.6818336
26	238.3669938
27	236.1207334
28	234.2701558
29	230.4047034
30	228.8360842
31	227.9767809
32	226.2246762
33	225.1083832
34	223.6926633
35	221.3978328
36	218.4869681
37	216.1178144
38	214.0866554
39	211.8533679
40	211.389541
41	209.3298351
42	207.1324499
43	205.8081866
44	201.6155266
45	200.5425516
46	197.9779663
47	196.7169882
48	195.9933224
49	194.883923
50	193.4818806
51	192.8559863
52	192.0362718
53	190.7485871
54	190.5384255
55	188.4508786
56	186.086027
57	184.3854933
58	183.5104275
59	182.7001411
60	180.0277999
61	179.4505778
62	178.3719741
63	177.1467903
64	176.3915398
65	175.8299829
66	174.2297952
67	173.6041271
68	173.4205584
69	172.7890121
70	171.6945032
71	170.5495688
72	168.5631212
73	167.1041338
74	164.4776953
75	163.3473834
76	163.2027135
77	162.3439515
78	161.2546598
79	160.1167684
80	160.0497244
81	159.0861568
82	158.4269557
83	156.3588733
84	155.9803723
85	155.6297242
86	155.1394818
87	153.7961693
88	153.3848204
89	153.3415381
90	152.5090458
91	151.7858153
92	151.2292431
93	150.0067264
94	148.9295243
95	147.860746
96	147.3796938
97	146.574984
98	146.0783971
99	145.0132624
100	144.5643818
101	143.7563075
102	143.3275516
103	143.0746087
104	142.7198356
105	141.3830907
106	140.7967109
107	140.5302651
108	139.9081769
109	139.1135805
110	138.601462
111	137.9479262
112	137.861937
113	137.3097203
114	136.7845338
115	136.1688313
116	135.6823147
117	135.2446466
118	134.9397706
119	133.708561
120	132.7420587
121	132.3238255
122	131.6498404
123	131.5215313
124	130.9027519
125	130.2423412
126	129.8348536
127	128.661004
128	127.840615
129	126.9791049
130	126.6211397
131	125.6110311
132	124.7451685
133	124.1808062
134	123.6952627
135	123.1731408
136	122.8923104
137	122.5024292
138	121.4033263
139	120.7332136
140	120.537826
141	120.2843971
142	119.7183448
143	119.1069779
144	118.9421366
145	118.3328526
146	118.2164383
147	117.2607923
148	117.0996333
149	116.4783109
150	116.092211
151	115.8062099
152	115.0643654
153	114.6338362
154	113.3903526
155	112.9161346
156	112.6528981
157	112.4901438
158	112.1557698
159	111.9711527
160	111.6504671
161	111.3438033
162	110.6112474
163	110.198708
164	109.6434764
165	109.2619858
166	108.9823907
167	108.4933179
168	108.4157875
169	108.154205
170	107.370848
171	106.8907026
172	106.3965395
173	105.9425192
174	105.8994044
175	105.523058
176	104.884126
177	104.5638345
178	104.3590294
179	104.1727132
180	103.414453
181	103.1429353
182	102.8823682
183	102.6818079
184	102.5098433
185	102.2018904
186	101.9588005
187	101.8010605
188	101.5916711
189	100.8404564
190	100.610853
191	100.4912958
192	100.2895893
193	99.85598037
194	99.56183019
195	99.47553305
196	99.13465355
197	98.8397858
198	98.40457777
199	98.17756575
