iter	Passed	Remaining
0	34	6817
1	71	7115
2	130	8546
3	175	8620
4	213	8342
5	252	8150
6	292	8068
7	331	7960
8	371	7883
9	464	8818
10	538	9245
11	616	9663
12	658	9469
13	702	9331
14	744	9186
15	795	9146
16	828	8922
17	863	8731
18	897	8548
19	934	8412
20	964	8219
21	1001	8103
22	1039	7997
23	1073	7873
24	1106	7746
25	1156	7742
26	1196	7665
27	1230	7560
28	1266	7466
29	1338	7585
30	1424	7768
31	1483	7788
32	1532	7754
33	1567	7653
34	1618	7631
35	1660	7564
36	1699	7485
37	1753	7475
38	1794	7409
39	1830	7320
40	1866	7238
41	1919	7220
42	1952	7127
43	1986	7043
44	2021	6961
45	2057	6887
46	2093	6816
47	2128	6739
48	2282	7033
49	2349	7048
50	2384	6965
51	2417	6879
52	2455	6809
53	2490	6734
54	2527	6663
55	2564	6594
56	2596	6513
57	2633	6448
58	2667	6375
59	2701	6303
60	2730	6221
61	2765	6154
62	2806	6103
63	2841	6038
64	2880	5983
65	2924	5937
66	2959	5875
67	2996	5816
68	3051	5793
69	3136	5824
70	3250	5906
71	3301	5869
72	3333	5800
73	3373	5743
74	3410	5684
75	3450	5629
76	3488	5572
77	3537	5532
78	3572	5471
79	3610	5415
80	3646	5357
81	3688	5308
82	3725	5251
83	3761	5194
84	3803	5145
85	3836	5085
86	3867	5022
87	3905	4970
88	3937	4911
89	3974	4857
90	4139	4958
91	4193	4922
92	4238	4876
93	4279	4825
94	4314	4768
95	4348	4710
96	4401	4673
97	4436	4617
98	4471	4561
99	4507	4507
100	4554	4463
101	4635	4453
102	4675	4403
103	4719	4356
104	4762	4309
105	4802	4259
106	4840	4207
107	4873	4151
108	4910	4099
109	5016	4104
110	5114	4100
111	5166	4059
112	5207	4009
113	5237	3951
114	5270	3895
115	5308	3844
116	5346	3793
117	5399	3752
118	5440	3703
119	5478	3652
120	5513	3599
121	5551	3549
122	5586	3497
123	5623	3446
124	5665	3399
125	5700	3348
126	5738	3298
127	5773	3247
128	5812	3199
129	5855	3153
130	5956	3137
131	6026	3104
132	6088	3067
133	6130	3019
134	6166	2969
135	6201	2918
136	6238	2868
137	6277	2820
138	6322	2774
139	6360	2725
140	6401	2678
141	6437	2629
142	6478	2582
143	6517	2534
144	6564	2489
145	6599	2440
146	6640	2394
147	6678	2346
148	6720	2300
149	6759	2253
150	6797	2205
151	6861	2166
152	6928	2128
153	6987	2087
154	7050	2046
155	7091	2000
156	7126	1951
157	7182	1909
158	7227	1863
159	7276	1819
160	7323	1773
161	7369	1728
162	7406	1681
163	7449	1635
164	7483	1587
165	7514	1539
166	7549	1491
167	7617	1450
168	7653	1403
169	7685	1356
170	7717	1308
171	7751	1261
172	7785	1215
173	7820	1168
174	7922	1131
175	7977	1087
176	8034	1043
177	8075	998
178	8140	955
179	8177	908
180	8207	861
181	8242	815
182	8274	768
183	8303	722
184	8339	676
185	8366	629
186	8398	583
187	8428	537
188	8461	492
189	8495	447
190	8527	401
191	8561	356
192	8590	311
193	8622	266
194	8650	221
195	8683	177
196	8732	132
197	8766	88
198	8816	44
199	8962	0
