iter	MultiClass
0	2.187037891
1	2.096868812
2	2.004039554
3	1.922713288
4	1.852978444
5	1.780521839
6	1.711060577
7	1.646050368
8	1.591971646
9	1.543695904
10	1.497064228
11	1.466432323
12	1.417552994
13	1.374882793
14	1.339284103
15	1.298591077
16	1.261995581
17	1.237103047
18	1.204264511
19	1.169385768
20	1.138370188
21	1.110152345
22	1.080213922
23	1.053858907
24	1.026827989
25	1.00414921
26	0.981087114
27	0.9593149998
28	0.9379857007
29	0.9144934433
30	0.9001121769
31	0.8805012033
32	0.8657163584
33	0.8465319413
34	0.8311441209
35	0.8154972706
36	0.7976990478
37	0.7840810997
38	0.7688661116
39	0.7555900778
40	0.7406764804
41	0.729032788
42	0.7168746782
43	0.7033496521
44	0.6895263559
45	0.6795208268
46	0.6683132723
47	0.6562501668
48	0.6443042949
49	0.6333563222
50	0.6257321269
51	0.6163475643
52	0.6082701001
53	0.5984092059
54	0.5899869979
55	0.5819713226
56	0.5727258526
57	0.5629289789
58	0.5524520068
59	0.5444318969
60	0.5362942107
61	0.5287050908
62	0.5212858318
63	0.5140896227
64	0.5091860676
65	0.5010309576
66	0.4945832712
67	0.4889088892
68	0.4830615625
69	0.4756921257
70	0.4701361108
71	0.4613392131
72	0.4556952111
73	0.4494768444
74	0.4430665119
75	0.4371229854
76	0.4337146607
77	0.4284538084
78	0.422222031
79	0.4178501445
80	0.4124329113
81	0.4071071627
82	0.4034308457
83	0.3989650302
84	0.3931810884
85	0.3889687563
86	0.3843863205
87	0.3790433072
88	0.3760203689
89	0.3708195667
90	0.3645654862
91	0.359883064
92	0.355850818
93	0.3533065205
94	0.3497443776
95	0.347029855
96	0.3429965722
97	0.3386668702
98	0.3342644166
99	0.3304696917
100	0.325535876
101	0.323615173
102	0.3194327112
103	0.3155000101
104	0.312397192
105	0.3103827528
106	0.3084572913
107	0.3050720834
108	0.3021420067
109	0.2992107471
110	0.2949641725
111	0.2925607051
112	0.2896414332
113	0.2867104793
114	0.2838428767
115	0.2821966007
116	0.2794046594
117	0.2780213302
118	0.2748643371
119	0.2740470839
120	0.2709843419
121	0.2673294653
122	0.2651182951
123	0.2644940173
124	0.2627330428
125	0.259932731
126	0.2579905321
127	0.2561019366
128	0.2544358385
129	0.2518965443
130	0.2517599742
131	0.2508531269
132	0.2482682405
