iter	Passed	Remaining
0	347	347056
1	558	278715
2	801	266383
3	1045	260294
4	1279	254699
5	1542	255511
6	1808	256605
7	2029	251658
8	2239	246638
9	2450	242637
10	2708	243508
11	2903	239095
12	3092	234785
13	3277	230863
14	3487	229014
15	3750	230668
16	3950	228413
17	4220	230230
18	4417	228074
19	4605	225681
20	4796	223605
21	4978	221332
22	5166	219468
23	5415	220211
24	5611	218855
25	5816	217887
26	6023	217057
27	6220	215954
28	6409	214619
29	6600	213425
30	6801	212612
31	6983	211265
32	7166	209987
33	7351	208876
34	7546	208060
35	7748	207498
36	7958	207127
37	8153	206422
38	8406	207137
39	8603	206479
40	8796	205755
41	8997	205226
42	9197	204699
43	9420	204681
44	9646	204718
45	9876	204825
46	10098	204771
47	10309	204476
48	10497	203733
49	10687	203061
50	10902	202871
51	11124	202800
52	11347	202764
53	11553	202405
54	11754	201967
55	11958	201587
56	12149	200993
57	12335	200347
58	12565	200409
59	12802	200579
60	13091	201529
61	13304	201285
62	13516	201024
63	13708	200479
64	13977	201064
65	14242	201555
66	14500	201923
67	14732	201921
68	15028	202771
69	15323	203580
70	15605	204188
71	15836	204111
72	16049	203800
73	16339	204461
74	16601	204752
75	16814	204427
76	17151	205598
77	17458	206371
78	17658	205865
79	17853	205318
80	18039	204667
81	18223	204008
82	18405	203342
83	18596	202795
84	18779	202151
85	18957	201480
86	19144	200910
87	19332	200353
88	19515	199759
89	19706	199253
90	19892	198703
91	20078	198168
92	20260	197596
93	20443	197043
94	20630	196535
95	20829	196140
96	21012	195613
97	21193	195063
98	21369	194483
99	21549	193945
100	21731	193430
101	21917	192955
102	22119	192631
103	22302	192146
104	22488	191687
105	22671	191212
106	22858	190775
107	23046	190343
108	23231	189904
109	23421	189502
110	23617	189154
111	23803	188730
112	23986	188286
113	24168	187835
114	24350	187390
115	24531	186949
116	24717	186544
117	24901	186129
118	25082	185693
119	25268	185303
120	25451	184890
121	25651	184605
122	25833	184195
123	26010	183752
124	26198	183391
125	26386	183033
126	26569	182635
127	26750	182239
128	26938	181887
129	27125	181529
130	27324	181262
131	27508	180886
132	27687	180487
133	27873	180138
134	28062	179806
135	28249	179465
136	28466	179316
137	28660	179021
138	28845	178674
139	29029	178323
140	29257	178241
141	29454	177970
142	29638	177622
143	29837	177367
144	30041	177139
145	30227	176810
146	30417	176505
147	30602	176172
148	30782	175812
149	30967	175480
150	31159	175192
151	31352	174911
152	31543	174623
153	31732	174320
154	31912	173974
155	32089	173611
156	32273	173288
157	32454	172955
158	32635	172620
159	32819	172300
160	33003	171989
161	33187	171673
162	33368	171348
163	33552	171037
164	33738	170735
165	33924	170439
166	34112	170155
167	34376	170246
168	34626	170262
169	34822	170015
170	35039	169870
171	35269	169786
172	35504	169722
173	35727	169601
174	35991	169675
175	36193	169451
176	36380	169158
177	36608	169059
178	36840	168973
179	37080	168921
180	37317	168854
181	37577	168892
182	37931	169343
183	38213	169469
184	38502	169618
185	38828	169925
186	39111	170042
187	39363	170017
188	39633	170066
189	39921	170189
190	40181	170190
