iter	Logloss
0	0.6782425941
1	0.6595880595
2	0.6452783035
3	0.6323550657
4	0.6192562052
5	0.6056801242
6	0.5955581962
7	0.5857219016
8	0.5757799484
9	0.5678162873
10	0.5602755574
11	0.5525053774
12	0.5454927457
13	0.5392328144
14	0.5312821028
15	0.5254911938
16	0.5194911464
17	0.5144787714
18	0.5089518424
19	0.5047735108
20	0.5008271989
21	0.4964822008
22	0.4912961354
23	0.4870351615
24	0.4836253574
25	0.4803398001
26	0.4771328956
27	0.4724161656
28	0.4696471065
29	0.4666286281
30	0.4639502764
31	0.4616053681
32	0.4593659814
33	0.4561623099
34	0.4544543348
35	0.450743947
36	0.4476057739
37	0.4452980496
38	0.4434567447
39	0.4399227145
40	0.4383054952
41	0.436304492
42	0.4346060261
43	0.4326489599
44	0.430546578
45	0.4274109548
46	0.4256267938
47	0.4234784416
48	0.4222514821
49	0.4194909893
50	0.4175286173
51	0.414802659
52	0.4137320333
53	0.4125971904
54	0.4117214364
55	0.410606409
56	0.4077114577
57	0.4068872197
58	0.4058077851
59	0.4040529052
60	0.4010037334
61	0.3987494605
62	0.3957495144
63	0.3937013566
64	0.3927576728
65	0.3893581388
66	0.3870782132
67	0.3853518091
68	0.3836519174
69	0.3821521263
70	0.3804224028
71	0.3793579239
72	0.3786210707
73	0.3780235873
74	0.377310451
75	0.3766213088
76	0.374734454
77	0.3729379991
78	0.3722815409
79	0.3705528513
80	0.3686683804
81	0.3677359915
82	0.3656914244
83	0.3642684368
84	0.3634659578
85	0.3600314858
86	0.3584733736
87	0.3578462556
88	0.3563903708
89	0.3538566956
90	0.3533358535
91	0.3510690215
92	0.349527352
93	0.3489388204
94	0.3485676574
95	0.3481604874
96	0.3464181078
97	0.3457736301
98	0.3448593585
99	0.3437221111
100	0.3423773598
101	0.3410041261
102	0.3404453079
103	0.3386044645
104	0.3379844374
105	0.3369793341
106	0.3350650599
107	0.3346589102
108	0.3336147219
109	0.3320096126
110	0.3304395458
111	0.3294239818
112	0.3282514476
113	0.3273337413
114	0.3267378234
115	0.325851688
116	0.3234840053
117	0.3226219698
118	0.320361265
119	0.3196278939
120	0.3185949651
121	0.3169142956
122	0.3159745311
123	0.3155716507
124	0.3138535688
125	0.311840208
126	0.3114478493
127	0.3107777336
128	0.3103994209
129	0.3098282423
130	0.3095370089
131	0.3082468857
132	0.3076182387
133	0.3065843106
134	0.305887633
135	0.3055792032
136	0.305370255
137	0.3047508399
138	0.3042348051
139	0.3032658982
140	0.3025913309
141	0.3021884388
142	0.3015886242
143	0.3008935259
144	0.2998963684
145	0.2990671259
146	0.2981867715
147	0.2971044247
148	0.2960507888
149	0.2953937533
150	0.2950277829
151	0.2942174681
152	0.2934146421
153	0.2920357391
154	0.291360436
155	0.2904815985
156	0.2900428149
157	0.2889606309
158	0.2886120005
159	0.2882948781
160	0.2880171445
161	0.2874076831
162	0.2868284144
163	0.2863860142
164	0.2860840436
165	0.2855383235
166	0.2850302622
167	0.2847200507
168	0.2843233869
169	0.2832484652
170	0.2826572691
171	0.282038979
172	0.281721976
173	0.2815461582
174	0.2811260415
175	0.2808199299
176	0.2801088398
177	0.2792638156
178	0.2784584654
179	0.2775988371
180	0.2773766281
181	0.2770732688
182	0.2765608551
183	0.2762884505
184	0.2744703781
185	0.2739422215
186	0.2733651797
187	0.273158341
188	0.2721350954
189	0.2717366374
190	0.2707562467
191	0.2699528768
192	0.2694562563
193	0.2685257141
194	0.26811666
195	0.2676499914
196	0.2671317035
197	0.266955766
198	0.2662654318
199	0.2659588944
200	0.2656696445
201	0.2653661314
202	0.2637482427
203	0.2627932065
204	0.2625191624
205	0.2615824791
206	0.2596476292
207	0.2592808755
208	0.2588165578
209	0.2581452936
210	0.2577960684
211	0.2572683016
212	0.2563859128
213	0.255834078
214	0.2555495613
215	0.2544089852
216	0.254006775
217	0.2536245815
218	0.2533367257
219	0.2528704182
220	0.2520146418
221	0.2517466688
222	0.2516293565
223	0.250804941
224	0.2502035769
225	0.2493253584
226	0.2482975213
227	0.2478755884
228	0.2477356325
229	0.2469711437
230	0.2457143376
231	0.24517005
232	0.2447070638
233	0.2442701216
234	0.2440261363
235	0.2434049614
236	0.242933968
237	0.2425813234
238	0.2423970312
239	0.2417286008
240	0.2411424791
241	0.2409645642
242	0.2405896
243	0.2404181067
244	0.2401429181
245	0.2394911099
246	0.239009304
247	0.2385909469
248	0.2384580898
249	0.238260531
250	0.2377607527
251	0.2374455302
252	0.2371813336
253	0.2368168503
254	0.2362909063
255	0.2358222335
256	0.2354755483
257	0.2349838192
258	0.2343026463
259	0.2341481505
260	0.2338331293
261	0.2328710121
262	0.2325968526
263	0.2321528274
264	0.2318704695
265	0.2314293274
266	0.2308981035
267	0.2303154132
268	0.2301647623
269	0.2297784168
270	0.2294366521
271	0.2292554256
272	0.2290700199
273	0.2286793607
274	0.2281992021
275	0.2280398442
276	0.2274572102
277	0.2270591911
278	0.2268148806
279	0.2266846569
280	0.2262635666
281	0.2261269322
282	0.2259422939
283	0.2258712609
284	0.2256283462
285	0.2253057031
286	0.2251123304
287	0.2248344395
288	0.2245541531
289	0.2241835777
290	0.2234016179
291	0.2221143891
292	0.2213056357
293	0.221028645
294	0.220795825
295	0.219982746
296	0.219813571
297	0.2194736254
298	0.2192377757
299	0.2181565106
300	0.2179924261
301	0.2171749405
302	0.2168926086
303	0.2160486581
304	0.2156855279
305	0.2151505196
306	0.2148133055
307	0.214442386
