iter	Passed	Remaining
0	5	5141
1	11	5841
2	17	5801
3	22	5678
4	28	5612
5	32	5414
6	37	5255
7	43	5371
8	47	5264
9	52	5172
10	58	5258
11	62	5185
12	67	5102
13	72	5123
14	77	5092
15	81	5036
16	86	4996
17	92	5023
18	96	4977
19	100	4937
20	106	4973
21	111	4941
22	115	4908
23	121	4949
24	127	4979
25	132	4968
26	139	5010
27	144	5001
28	148	4972
29	154	4980
30	158	4965
31	163	4937
32	167	4909
33	173	4933
34	178	4910
35	182	4887
36	188	4908
37	193	4886
38	197	4865
39	203	4873
40	207	4854
41	211	4832
42	216	4810
43	222	4834
44	227	4838
45	232	4819
46	238	4836
47	243	4820
48	247	4802
49	253	4813
50	257	4799
51	262	4782
52	267	4784
53	272	4782
54	277	4763
55	281	4746
56	287	4756
57	291	4737
58	295	4719
59	301	4722
60	305	4707
61	309	4689
62	314	4673
63	320	4684
64	324	4669
65	328	4652
66	334	4656
67	339	4658
68	344	4644
69	350	4652
70	355	4646
71	359	4634
72	364	4628
73	369	4627
74	374	4614
75	378	4602
76	384	4609
77	389	4599
78	393	4587
79	398	4587
80	403	4578
81	407	4566
82	412	4553
83	418	4561
84	422	4549
85	426	4536
86	432	4542
87	438	4542
88	442	4534
89	448	4539
90	453	4530
91	458	4521
92	463	4522
93	469	4520
94	473	4510
95	477	4498
96	483	4500
97	487	4487
98	491	4475
99	496	4471
100	501	4461
101	505	4449
102	509	4436
103	515	4440
104	519	4430
105	523	4419
106	529	4419
107	535	4418
108	539	4412
109	544	4408
110	550	4406
111	555	4401
112	559	4394
113	565	4397
114	570	4386
115	574	4376
116	580	4378
117	584	4368
118	588	4356
119	593	4349
120	598	4345
121	602	4334
122	606	4324
123	612	4325
124	616	4316
125	620	4306
126	625	4297
127	630	4296
128	634	4286
129	638	4276
130	644	4275
131	650	4274
132	654	4265
133	659	4263
134	664	4257
135	668	4247
136	672	4237
137	678	4239
138	682	4230
139	687	4221
140	692	4217
141	696	4209
142	700	4199
143	704	4190
144	710	4190
145	714	4181
146	718	4171
147	724	4170
148	729	4164
149	733	4156
150	737	4147
151	744	4152
152	748	4144
153	753	4137
154	759	4139
155	764	4138
156	769	4131
157	775	4131
158	779	4122
